pathwayname,genelist,genecount
Organelle biogenesis and maintenance,"['ALAS1', 'ARF4', 'ARL3', 'ATP5F1A', 'ATP5F1B', 'ATP5F1C', 'ATP5F1D', 'ATP5F1E', 'ATP5PB', 'ATP5MC1', 'ATP5MC2', 'ATP5MC3', 'ATP5ME', 'ATP5PF', 'ATP5PO', 'BBS1', 'BBS2', 'BBS4', 'CALM3', 'CAMK4', 'CDK1', 'CETN2', 'CREB1', 'ATF2', 'CSNK1D', 'DYNC1H1', 'DYNC1I2', 'ESRRA', 'GABPA', 'HCFC1', 'HSPA9', 'HSP90AA1', 'TNPO1', 'RAB8A', 'ATP6', 'ATP8', 'MTX1', 'SEPTIN2', 'NEK2', 'NPHP1', 'NRF1', 'ODF2', 'PAFAH1B1', 'PCM1', 'PCNT', 'PDE6D', 'PLK1', 'POLRMT', 'PPP2R1A', 'PRKAA2', 'PRKACA', 'PRKAR2B', 'RP2', 'RXRA', 'SSBP1', 'TBL1X', 'TCP1', 'TFAM', 'CCT3', 'TUBA4A', 'TUBG1', 'YWHAE', 'YWHAG', 'ALMS1', 'TUBA1A', 'MTERF1', 'IFT88', 'MKKS', 'OFD1', 'SSNA1', 'DYNLL1', 'GBF1', 'RAB11A', 'TMEM11', 'HDAC3', 'TRIP11', 'ATP5MF', 'NCOR1', 'IQCB1', 'CEP135', 'CEP57', 'RAB11FIP3', 'CCP110', 'IFT140', 'CKAP5', 'SFI1', 'HDAC6', 'ACTR1A', 'AKAP9', 'TUBB4A', 'TUBB4B', 'ATP5PD', 'DCTN2', 'CCT4', 'CCT2', 'ATP5MG', 'EXOC5', 'MTX2', 'CCT8', 'PLK4', 'SDCCAG8', 'PPARGC1A', 'IMMT', 'IFT27', 'CNTRL', 'FGFR1OP', 'KIF3A', 'CEP250', 'POLG2', 'DCTN3', 'EXOC3', 'CEP162', 'CEP164', 'MAPRE1', 'KIFAP3', 'CCT5', 'NINL', 'CEP131', 'CEP152', 'CLUAP1', 'PPRC1', 'EXOC7', 'RPGRIP1L', 'CLASP1', 'HAUS5', 'SIRT5', 'SIRT4', 'SIRT3', 'SAMM50', 'C2CD3', 'TCTN3', 'TRAF3IP1', 'IFT172', 'B9D1', 'DMAC2L', 'BBS9', 'IFT81', 'ASAP1', 'IFT52', 'TFB1M', 'CEP83', 'TMEM216', 'DYNC2LI1', 'HSPB11', 'CYCS', 'EXOC6', 'LZTFL1', 'HAUS6', 'AHI1', 'NDE1', 'MKS1', 'CHCHD3', 'HAUS4', 'IFT57', 'WDR60', 'CEP192', 'HAUS2', 'BBS7', 'HAUS7', 'CEP72', 'DNAJC11', 'CDK5RAP2', 'EXOC1', 'IFT122', 'EXOC2', 'CENPJ', 'INPP5E', 'TWNK', 'IFT46', 'WDR35', 'CC2D2A', 'IFT80', 'KIF17', 'WDR19', 'MARK4', 'EXOC4', 'TFB2M', 'IFT22', 'APOO', 'HAUS3', 'CEP97', 'TCTN1', 'DYNC2H1', 'TBL1XR1', 'BBS10', 'TTC21B', 'TCTN2', 'CEP76', 'ATAT1', 'TTC26', 'IFT74', 'CEP290', 'CEP63', 'CEP70', 'B9D2', 'ARL6', 'CEP78', 'CHCHD6', 'UNC119B', 'PERM1', 'CEP89', 'FBF1', 'WDR34', 'IFT20', 'TMEM67', 'BBIP1', 'HAUS8', 'CEP41', 'IFT43', 'HAUS1', 'RAB3IP', 'NEDD1', 'TTC8', 'MICOS13', 'BBS5', 'SCLT1', 'PPARGC1B', 'APOOL', 'TTBK2', 'EXOC8', 'BBS12', 'ARL13B', 'TUBB', 'NPHP4', 'KIF24', 'MICOS10', 'TPTEP2-CSNK1E']",227
Mitochondrial biogenesis,"['ALAS1', 'ATP5F1A', 'ATP5F1B', 'ATP5F1C', 'ATP5F1D', 'ATP5F1E', 'ATP5PB', 'ATP5MC1', 'ATP5MC2', 'ATP5MC3', 'ATP5ME', 'ATP5PF', 'ATP5PO', 'CALM3', 'CAMK4', 'CREB1', 'ATF2', 'ESRRA', 'GABPA', 'HCFC1', 'HSPA9', 'ATP6', 'ATP8', 'MTX1', 'NRF1', 'POLRMT', 'PRKAA2', 'RXRA', 'SSBP1', 'TBL1X', 'TFAM', 'MTERF1', 'TMEM11', 'HDAC3', 'ATP5MF', 'NCOR1', 'ATP5PD', 'ATP5MG', 'MTX2', 'PPARGC1A', 'IMMT', 'POLG2', 'PPRC1', 'SIRT5', 'SIRT4', 'SIRT3', 'SAMM50', 'DMAC2L', 'TFB1M', 'CYCS', 'CHCHD3', 'DNAJC11', 'TWNK', 'TFB2M', 'APOO', 'TBL1XR1', 'CHCHD6', 'PERM1', 'MICOS13', 'PPARGC1B', 'APOOL', 'MICOS10']",62
Transcriptional activation of mitochondrial biogenesis,"['ALAS1', 'ATP5F1B', 'CALM3', 'CAMK4', 'CREB1', 'ATF2', 'ESRRA', 'GABPA', 'HCFC1', 'NRF1', 'POLRMT', 'RXRA', 'SSBP1', 'TBL1X', 'TFAM', 'MTERF1', 'HDAC3', 'NCOR1', 'PPARGC1A', 'POLG2', 'PPRC1', 'SIRT5', 'SIRT4', 'SIRT3', 'TFB1M', 'CYCS', 'TWNK', 'TFB2M', 'TBL1XR1', 'PERM1', 'PPARGC1B']",31
Developmental Biology,"['ABL1', 'ACVR1B', 'ACVR2B', 'ADAM10', 'AP2B1', 'ALCAM', 'ANK1', 'RHOA', 'BNIP2', 'KLF5', 'RUNX1', 'CCNC', 'CCND3', 'CD36', 'CD72', 'CDC42', 'CDK2', 'CDK4', 'CDK5', 'CDK8', 'CDKN1A', 'CDSN', 'CEBPA', 'CEBPB', 'CEBPD', 'CEBPE', 'CFL1', 'AP2M1', 'AP2S1', 'CLTA', 'CLTC', 'CNTN1', 'CREB1', 'CREBBP', 'CSF3R', 'CSNK2B', 'NCAN', 'CYP51A1', 'DAB1', 'DAG1', 'DCC', 'DCX', 'DLG4', 'DNM1', 'DPYSL2', 'DRP2', 'DSCAM', 'DSP', 'E2F1', 'EBF1', 'EGFR', 'EGR2', 'EIF4G1', 'EP300', 'EPAS1', 'EPHA1', 'EPHB2', 'ERBB2', 'ETF1', 'EVPL', 'EZH2', 'FABP4', 'FES', 'FGF2', 'FGF10', 'FOXO1', 'FOXO3', 'FLG', 'FLI1', 'NR5A1', 'FYN', 'GAP43', 'GATA2', 'GCK', 'GDF1', 'GFI1', 'GPC1', 'GRIN1', 'GRIN2B', 'ARHGAP35', 'GSK3B', 'HDAC2', 'HMGCR', 'FOXA2', 'FOXA3', 'HNF4G', 'ONECUT1', 'HOXA1', 'HOXA2', 'HOXA3', 'HOXA4', 'HOXB1', 'HOXB2', 'HOXB3', 'HOXB4', 'HOXC4', 'HOXD1', 'HOXD3', 'HOXD4', 'HRAS', 'HES1', 'HSPA8', 'IAPP', 'IL6R', 'INS', 'INSM1', 'PDX1', 'ISL1', 'ITGA1', 'ITGA2', 'ITGA2B', 'ITGA5', 'ITGA9', 'ITGAV', 'ITGB1', 'ITGB3', 'IVL', 'JUN', 'JUP', 'L1CAM', 'LAMA2', 'LAMB1', 'LAMC1', 'RPSA', 'LEP', 'LIMK1', 'LOR', 'LPL', 'SMAD2', 'SMAD4', 'MAG', 'MBP', 'ADAM11', 'MEIS1', 'MET', 'KMT2A', 'MPZ', 'MSI1', 'MYB', 'MYC', 'MYL6', 'MYO9B', 'MYO10', 'NCAM1', 'NCBP1', 'NCK1', 'RPL10A', 'NELL2', 'NEO1', 'NEUROD1', 'NFKB1', 'NKX2-2', 'NKX6-1', 'NODAL', 'NRCAM', 'NTN3', 'PAK1', 'PAK2', 'PAK3', 'PAX6', 'PBX1', 'PCK1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PITPNA', 'PKNOX1', 'PLCG1', 'PLIN1', 'PLXNA1', 'PLXNB1', 'PLXNB3', 'PMP22', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'POU3F1', 'POU3F2', 'POU5F1', 'PPARG', 'MED1', 'PPL', 'PPP3CB', 'PRKAR2A', 'PRKCA', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK8', 'MAP2K1', 'MAP2K2', 'MAP2K6', 'PRNP', 'PSPN', 'RELN', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'PTK2', 'PTPN11', 'PTPRA', 'PTPRC', 'RAC1', 'RARA', 'RASA1', 'RBBP5', 'RELA', 'RET', 'ROBO1', 'ROBO2', 'RPL4', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19', 'RPL21', 'RPL23A', 'RPL24', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL32', 'RPL34', 'RPL35A', 'RPL37', 'RPL37A', 'RPL38', 'RPL41', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS2', 'RPS3', 'RPS3A', 'RPS5', 'RPS6', 'RPS7', 'RPS8', 'RPS9', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS16', 'RPS17', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS26', 'RPS27A', 'RPS28', 'RPS29', 'RRAS', 'RXRA', 'SALL1', 'SDC2', 'SDCBP', 'CXCL12', 'ITSN1', 'SH3GL2', 'SHC1', 'SIAH1', 'SIAH2', 'SLC2A2', 'SLC2A4', 'SLIT1', 'SLIT3', 'SMARCA4', 'SOS1', 'SOX2', 'SOX10', 'SPI1', 'SRC', 'SREBF2', 'ST14', 'STAT3', 'MED22', 'TAL1', 'CNTN2', 'TBL1X', 'ELOC', 'ELOB', 'HNF1A', 'HNF1B', 'TCF3', 'TDGF1', 'TEAD1', 'NR2F2', 'TGFB1', 'TGM1', 'TIAM1', 'TLN1', 'TNF', 'TRPC1', 'UBA52', 'UTRN', 'KDM6A', 'VAV2', 'EZR', 'VLDLR', 'YY1', 'ZIC3', 'PCGF2', 'CXCR4', 'DEK', 'SEM1', 'LHX3', 'NCOA3', 'NCK2', 'CUL2', 'SEMA7A', 'CNTNAP1', 'ITGA10', 'UNC5C', 'NCOA1', 'NUMB', 'EED', 'ADAM23', 'NRP2', 'NRP1', 'HDAC3', 'CDK5R1', 'ARHGEF7', 'FOXH1', 'WASL', 'KALRN', 'SEMA5A', 'SPAG9', 'RPL14', 'ARTN', 'PIAS2', 'ASH2L', 'CNOT9', 'LGI1', 'RPS6KA5', 'MED14', 'KLF4', 'TGM5', 'RPL23', 'SLIT2', 'LHX2', 'ADIPOQ', 'MED21', 'NTN1', 'MED23', 'MED17', 'MED26', 'MED27', 'MED7', 'MED20', 'PSMF1', 'AKAP5', 'NCOR1', 'NCOR2', 'SEMA3E', 'EIF4A3', 'FARP2', 'PSMD6', 'MED24', 'MAFB', 'THRAP3', 'MED12', 'MED13', 'RBX1', 'MED6', 'MED16', 'RANBP9', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'PLXNC1', 'PSME3', 'PSMD14', 'SEMA3A', 'YAP1', 'NCOA2', 'SEMA4D', 'ARPC1A', 'DRAP1', 'MYL12A', 'CTCF', 'CHL1', 'FRS2', 'PPARGC1A', 'RNPS1', 'ADIRF', 'SPINK5', 'WDR5', 'KLK8', 'RPL35', 'LYPLA2', 'CASC3', 'NCBP2', 'PAXIP1', 'USP33', 'ZSWIM8', 'NCOA6', 'CDK19', 'NFASC', 'PLXND1', 'PSME4', 'KAZN', 'NCSTN', 'MED13L', 'PIP5K1C', 'SUZ12', 'RPL13A', 'CASP14', 'FLRT3', 'NGEF', 'KLK5', 'RPL36', 'WWTR1', 'UPF2', 'KLK13', 'PABPC1', 'FOXD3', 'CNTN6', 'RND1', 'ZNF638', 'GIT1', 'MED4', 'SH3KBP1', 'KLK14', 'KLK12', 'NEUROG3', 'CDON', 'MED31', 'ANGPTL4', 'LEF1', 'MED15', 'ADAM22', 'TREM2', 'MED18', 'MED9', 'LGI2', 'DPPA4', 'MED29', 'PSENEN', 'SALL4', 'ADGRG6', 'SEMA6A', 'SHTN1', 'PRX', 'NTN4', 'CELA2A', 'ZNF335', 'PRDM14', 'PERP', 'GFRA4', 'SEMA4A', 'ARHGEF28', 'HIF3A', 'PAGR1', 'TBL1XR1', 'LIN28A', 'NANOG', 'SCD5', 'SEMA6D', 'MED28', 'ARHGAP39', 'MED25', 'ADGRV1', 'MED10', 'FAM120B', 'ZSCAN10', 'AJUBA', 'HELZ2', 'LHX4', 'MED30', 'MED8', 'AGAP2', 'PSMB11', 'ACVR1C', 'PSMA8', 'LGI4', 'ZNF467', 'LGI3', 'MED19', 'UNC5B', 'RFX6', 'PTF1A', 'LAMA1', 'AGRN', 'MAFA', 'ONECUT3', 'MED11', 'SPINK6', 'HIST2H4B', 'SPINK9', 'CD24']",558
Axon guidance,"['ADAM10', 'AP2B1', 'ALCAM', 'ANK1', 'RHOA', 'CD72', 'CDC42', 'CDK5', 'CFL1', 'AP2M1', 'AP2S1', 'CLTA', 'CLTC', 'CNTN1', 'CREB1', 'CSNK2B', 'NCAN', 'DAB1', 'DAG1', 'DCC', 'DCX', 'DNM1', 'DPYSL2', 'DSCAM', 'EGFR', 'EIF4G1', 'EPHB2', 'ERBB2', 'ETF1', 'FES', 'FYN', 'GAP43', 'GPC1', 'GRIN1', 'GRIN2B', 'ARHGAP35', 'GSK3B', 'HOXA2', 'HRAS', 'HSPA8', 'ISL1', 'ITGA1', 'ITGA2', 'ITGA2B', 'ITGA5', 'ITGA9', 'ITGAV', 'ITGB1', 'ITGB3', 'L1CAM', 'LAMB1', 'LAMC1', 'RPSA', 'LIMK1', 'MET', 'MSI1', 'MYL6', 'MYO9B', 'MYO10', 'NCAM1', 'NCBP1', 'NCK1', 'RPL10A', 'NELL2', 'NEO1', 'NRCAM', 'PAK1', 'PAK2', 'PAK3', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PITPNA', 'PLCG1', 'PLXNA1', 'PLXNB1', 'PLXNB3', 'PPP3CB', 'PRKAR2A', 'PRKCA', 'PRKCQ', 'MAPK1', 'MAPK3', 'MAPK8', 'MAP2K1', 'MAP2K2', 'PRNP', 'PSPN', 'RELN', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'PTK2', 'PTPN11', 'PTPRA', 'PTPRC', 'RAC1', 'RASA1', 'RET', 'ROBO1', 'ROBO2', 'RPL4', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19', 'RPL21', 'RPL23A', 'RPL24', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL32', 'RPL34', 'RPL35A', 'RPL37', 'RPL37A', 'RPL38', 'RPL41', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS2', 'RPS3', 'RPS3A', 'RPS5', 'RPS6', 'RPS7', 'RPS8', 'RPS9', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS16', 'RPS17', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS26', 'RPS27A', 'RPS28', 'RPS29', 'RRAS', 'SDC2', 'SDCBP', 'CXCL12', 'ITSN1', 'SH3GL2', 'SHC1', 'SIAH1', 'SIAH2', 'SLIT1', 'SLIT3', 'SOS1', 'SRC', 'CNTN2', 'ELOC', 'ELOB', 'TIAM1', 'TLN1', 'TRPC1', 'UBA52', 'VAV2', 'EZR', 'VLDLR', 'CXCR4', 'SEM1', 'LHX3', 'NCK2', 'CUL2', 'SEMA7A', 'CNTNAP1', 'ITGA10', 'UNC5C', 'NUMB', 'NRP2', 'NRP1', 'CDK5R1', 'ARHGEF7', 'WASL', 'KALRN', 'SEMA5A', 'RPL14', 'ARTN', 'RPS6KA5', 'RPL23', 'SLIT2', 'LHX2', 'NTN1', 'PSMF1', 'AKAP5', 'SEMA3E', 'EIF4A3', 'FARP2', 'PSMD6', 'RBX1', 'RANBP9', 'ARPC5', 'ARPC4', 'ARPC3', 'ARPC1B', 'ACTR3', 'ACTR2', 'ARPC2', 'PLXNC1', 'PSME3', 'PSMD14', 'SEMA3A', 'SEMA4D', 'ARPC1A', 'MYL12A', 'CHL1', 'FRS2', 'RNPS1', 'RPL35', 'LYPLA2', 'CASC3', 'NCBP2', 'USP33', 'ZSWIM8', 'NFASC', 'PLXND1', 'PSME4', 'NCSTN', 'PIP5K1C', 'RPL13A', 'FLRT3', 'NGEF', 'RPL36', 'UPF2', 'PABPC1', 'CNTN6', 'RND1', 'GIT1', 'SH3KBP1', 'TREM2', 'PSENEN', 'SEMA6A', 'SHTN1', 'NTN4', 'GFRA4', 'SEMA4A', 'ARHGEF28', 'SEMA6D', 'ARHGAP39', 'LHX4', 'AGAP2', 'PSMB11', 'PSMA8', 'UNC5B', 'LAMA1', 'AGRN', 'CD24']",308
Semaphorin interactions,"['RHOA', 'CD72', 'CDK5', 'CFL1', 'ERBB2', 'FES', 'FYN', 'ARHGAP35', 'GSK3B', 'ITGA1', 'ITGB1', 'LIMK1', 'MET', 'MYL6', 'PAK1', 'PAK2', 'PAK3', 'PLXNA1', 'PLXNB1', 'PLXNB3', 'PTPRC', 'RAC1', 'RRAS', 'TLN1', 'SEMA7A', 'NRP1', 'CDK5R1', 'SEMA5A', 'SEMA3E', 'FARP2', 'PLXNC1', 'SEMA3A', 'SEMA4D', 'PLXND1', 'PIP5K1C', 'RND1', 'TREM2', 'SEMA6A', 'SEMA4A', 'SEMA6D']",40
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,"['FES', 'FYN', 'RAC1', 'RRAS', 'TLN1', 'NRP1', 'FARP2', 'SEMA3A', 'PIP5K1C', 'RND1']",10
CRMPs in Sema3A signaling,"['CDK5', 'FES', 'FYN', 'GSK3B', 'NRP1', 'CDK5R1', 'SEMA3A']",7
NCAM signaling for neurite out-growth,"['CREB1', 'NCAN', 'FYN', 'NCAM1', 'MAPK1', 'MAPK3', 'PRNP', 'PTK2', 'PTPRA', 'SOS1', 'CNTN2', 'RPS6KA5', 'AGRN']",13
Netrin-1 signaling,"['CDC42', 'DCC', 'DSCAM', 'MYO10', 'NCK1', 'NEO1', 'PAK1', 'PITPNA', 'PLCG1', 'PRKCQ', 'MAPK8', 'PTK2', 'PTPN11', 'RAC1', 'ROBO1', 'SIAH1', 'SIAH2', 'SRC', 'TRPC1', 'EZR', 'UNC5C', 'WASL', 'NTN1', 'NTN4', 'AGAP2', 'UNC5B']",26
DSCAM interactions,"['DCC', 'DSCAM', 'PAK1', 'MAPK8', 'RAC1', 'NTN1']",6
Signaling by ROBO receptors,"['RHOA', 'CDC42', 'DAG1', 'DCC', 'EIF4G1', 'ETF1', 'GPC1', 'HOXA2', 'ISL1', 'RPSA', 'MSI1', 'MYO9B', 'NCBP1', 'RPL10A', 'NELL2', 'PPP3CB', 'PRKAR2A', 'PRKCA', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'RAC1', 'ROBO1', 'ROBO2', 'RPL4', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19', 'RPL21', 'RPL23A', 'RPL24', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL32', 'RPL34', 'RPL35A', 'RPL37', 'RPL37A', 'RPL38', 'RPL41', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS2', 'RPS3', 'RPS3A', 'RPS5', 'RPS6', 'RPS7', 'RPS8', 'RPS9', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS16', 'RPS17', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS26', 'RPS27A', 'RPS28', 'RPS29', 'CXCL12', 'SLIT1', 'SLIT3', 'SRC', 'ELOC', 'ELOB', 'UBA52', 'CXCR4', 'SEM1', 'LHX3', 'NCK2', 'CUL2', 'NRP1', 'RPL14', 'RPL23', 'SLIT2', 'LHX2', 'NTN1', 'PSMF1', 'AKAP5', 'EIF4A3', 'PSMD6', 'RBX1', 'PSME3', 'PSMD14', 'RNPS1', 'RPL35', 'CASC3', 'NCBP2', 'USP33', 'ZSWIM8', 'PSME4', 'RPL13A', 'FLRT3', 'RPL36', 'UPF2', 'PABPC1', 'ARHGAP39', 'LHX4', 'PSMB11', 'PSMA8']",161
Regulation of expression of SLITs and ROBOs,"['DAG1', 'EIF4G1', 'ETF1', 'HOXA2', 'ISL1', 'RPSA', 'MSI1', 'NCBP1', 'RPL10A', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'ROBO1', 'ROBO2', 'RPL4', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19', 'RPL21', 'RPL23A', 'RPL24', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL32', 'RPL34', 'RPL35A', 'RPL37', 'RPL37A', 'RPL38', 'RPL41', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS2', 'RPS3', 'RPS3A', 'RPS5', 'RPS6', 'RPS7', 'RPS8', 'RPS9', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS16', 'RPS17', 'RPS18', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS26', 'RPS27A', 'RPS28', 'RPS29', 'SLIT1', 'ELOC', 'ELOB', 'UBA52', 'SEM1', 'LHX3', 'CUL2', 'RPL14', 'RPL23', 'SLIT2', 'LHX2', 'PSMF1', 'EIF4A3', 'PSMD6', 'RBX1', 'PSME3', 'PSMD14', 'RNPS1', 'RPL35', 'CASC3', 'NCBP2', 'USP33', 'ZSWIM8', 'PSME4', 'RPL13A', 'RPL36', 'UPF2', 'PABPC1', 'LHX4', 'PSMB11', 'PSMA8']",141
L1CAM interactions,"['AP2B1', 'ALCAM', 'ANK1', 'AP2M1', 'AP2S1', 'CLTA', 'CLTC', 'CNTN1', 'CSNK2B', 'NCAN', 'DCX', 'DPYSL2', 'EGFR', 'EPHB2', 'GAP43', 'HSPA8', 'ITGA1', 'ITGA2', 'ITGA2B', 'ITGA5', 'ITGA9', 'ITGAV', 'ITGB1', 'ITGB3', 'L1CAM', 'LAMB1', 'LAMC1', 'NCAM1', 'NRCAM', 'PAK1', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'RAC1', 'SDCBP', 'SH3GL2', 'CNTN2', 'VAV2', 'CNTNAP1', 'ITGA10', 'NUMB', 'NRP2', 'NRP1', 'RANBP9', 'CHL1', 'LYPLA2', 'NFASC', 'CNTN6', 'SHTN1', 'LAMA1', 'CD24']",52
Recycling pathway of L1,"['AP2B1', 'AP2M1', 'AP2S1', 'CLTA', 'CLTC', 'DPYSL2', 'L1CAM', 'MAPK1', 'SH3GL2', 'NUMB', 'SHTN1']",11
Signal transduction by L1,"['CSNK2B', 'EGFR', 'ITGA2B', 'ITGA5', 'ITGA9', 'ITGAV', 'ITGB1', 'ITGB3', 'L1CAM', 'NCAM1', 'PAK1', 'MAPK1', 'MAPK3', 'MAP2K1', 'MAP2K2', 'RAC1', 'VAV2', 'NRP1']",18
Reelin signalling pathway,"['DAB1', 'FYN', 'RELN', 'VLDLR', 'SH3KBP1']",5
Myogenesis,"['ABL1', 'BNIP2', 'CDC42', 'NEO1', 'NTN3', 'MAP2K6', 'TCF3', 'SPAG9', 'CDON']",9
CDO in myogenesis,"['ABL1', 'BNIP2', 'CDC42', 'NEO1', 'NTN3', 'MAP2K6', 'TCF3', 'SPAG9', 'CDON']",9
Transcriptional regulation of white adipocyte differentiation,"['KLF5', 'CCNC', 'CCND3', 'CD36', 'CDK4', 'CDK8', 'CEBPA', 'CEBPB', 'CEBPD', 'CREBBP', 'EBF1', 'EGR2', 'EP300', 'FABP4', 'LEP', 'LPL', 'NFKB1', 'PCK1', 'PLIN1', 'PPARG', 'MED1', 'RELA', 'RXRA', 'SLC2A4', 'MED22', 'TBL1X', 'NR2F2', 'TGFB1', 'TNF', 'NCOA3', 'NCOA1', 'HDAC3', 'MED14', 'KLF4', 'ADIPOQ', 'MED21', 'MED23', 'MED17', 'MED26', 'MED27', 'MED7', 'MED20', 'NCOR1', 'NCOR2', 'MED24', 'THRAP3', 'MED12', 'MED13', 'MED6', 'MED16', 'NCOA2', 'PPARGC1A', 'ADIRF', 'CDK19', 'MED13L', 'ZNF638', 'MED4', 'MED31', 'ANGPTL4', 'MED15', 'MED18', 'MED9', 'MED29', 'TBL1XR1', 'MED28', 'MED25', 'MED10', 'FAM120B', 'HELZ2', 'MED30', 'MED8', 'ZNF467', 'MED19', 'MED11']",74
